1,4,2,275,,,Y,4,,sysadmin,2025-08-05 23:22:37,4934,root,localhost:49212,projly_systemmain,Query,0,executing,insert into d_dbprocess (\
		client_id\, entity_id\, dataentity_id\, code\, description\, is_enabled\, data_client_id\, jsondata\, modifyuser\, modifydatetime\,\
		g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_id\, g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_user\, g24e3d61f_aa39_4d
2,4,2,275,,,Y,4,,sysadmin,2025-08-05 23:22:37,4933,root,localhost:49211,projly_systemmain,Query,0,executing,insert into d_dbprocess (\
		client_id\, entity_id\, dataentity_id\, code\, description\, is_enabled\, data_client_id\, jsondata\, modifyuser\, modifydatetime\,\
		g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_id\, g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_user\, g24e3d61f_aa39_4d
4,4,2,275,,,Y,4,,sysadmin,2025-08-05 23:22:37,4934,root,localhost:49212,projly_systemmain,Query,0,executing,insert into d_dbprocess (\
		client_id\, entity_id\, dataentity_id\, code\, description\, is_enabled\, data_client_id\, jsondata\, modifyuser\, modifydatetime\,\
		g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_id\, g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_user\, g24e3d61f_aa39_4d
5,4,2,275,,,Y,4,,sysadmin,2025-08-05 23:22:37,4933,root,localhost:49211,projly_systemmain,Query,0,Sending data,insert into d_dbprocess (\
		client_id\, entity_id\, dataentity_id\, code\, description\, is_enabled\, data_client_id\, jsondata\, modifyuser\, modifydatetime\,\
		g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_id\, g24e3d61f_aa39_4d5a_b654_cc55e2d69fc9_user\, g24e3d61f_aa39_4d
